id,object_id,change_id,change_id_end,type_id,value,update_date,start_date,end_date,raw_attributes
375934044,67020241,99936378,0,2,7704,2019-11-13,1900-01-01,2079-06-06,"{""ID"": ""375934044"", ""VALUE"": ""7704"", ""TYPEID"": ""2"", ""ENDDATE"": ""2079-06-06"", ""CHANGEID"": ""99936378"", ""OBJECTID"": ""67020241"", ""STARTDATE"": ""1900-01-01"", ""UPDATEDATE"": ""2019-11-13"", ""CHANGEIDEND"": ""0""}"
375935076,67020241,99936378,0,5,119019,2019-11-13,1900-01-01,2079-06-06,"{""ID"": ""375935076"", ""VALUE"": ""119019"", ""TYPEID"": ""5"", ""ENDDATE"": ""2079-06-06"", ""CHANGEID"": ""99936378"", ""OBJECTID"": ""67020241"", ""STARTDATE"": ""1900-01-01"", ""UPDATEDATE"": ""2019-11-13"", ""CHANGEIDEND"": ""0""}"
375935070,67020241,99936378,0,6,45286552000,2019-11-13,1900-01-01,2079-06-06,"{""ID"": ""375935070"", ""VALUE"": ""45286552000"", ""TYPEID"": ""6"", ""ENDDATE"": ""2079-06-06"", ""CHANGEID"": ""99936378"", ""OBJECTID"": ""67020241"", ""STARTDATE"": ""1900-01-01"", ""UPDATEDATE"": ""2019-11-13"", ""CHANGEIDEND"": ""0""}"
375934053,67020241,99936378,0,7,45374000,2019-11-13,1900-01-01,2079-06-06,"{""ID"": ""375934053"", ""VALUE"": ""45374000"", ""TYPEID"": ""7"", ""ENDDATE"": ""2079-06-06"", ""CHANGEID"": ""99936378"", ""OBJECTID"": ""67020241"", ""STARTDATE"": ""1900-01-01"", ""UPDATEDATE"": ""2019-11-13"", ""CHANGEIDEND"": ""0""}"
375935524,67020241,99937149,0,8,77:01:0001046:1013,2019-11-13,2019-11-11,2079-06-06,"{""ID"": ""375935524"", ""VALUE"": ""77:01:0001046:1013"", ""TYPEID"": ""8"", ""ENDDATE"": ""2079-06-06"", ""CHANGEID"": ""99937149"", ""OBJECTID"": ""67020241"", ""STARTDATE"": ""2019-11-11"", ""UPDATEDATE"": ""2019-11-13"", ""CHANGEIDEND"": ""0""}"
375935080,67020241,99936378,99937149,13,453740000000000075820082000000005,2019-11-13,1900-01-01,2019-11-11,"{""ID"": ""375935080"", ""VALUE"": ""453740000000000075820082000000005"", ""TYPEID"": ""13"", ""ENDDATE"": ""2019-11-11"", ""CHANGEID"": ""99936378"", ""OBJECTID"": ""67020241"", ""STARTDATE"": ""1900-01-01"", ""UPDATEDATE"": ""2019-11-13"", ""CHANGEIDEND"": ""99937149""}"
375935534,67020241,99937149,0,13,453740000000000075820082000000000,2019-11-13,2019-11-11,2079-06-06,"{""ID"": ""375935534"", ""VALUE"": ""453740000000000075820082000000000"", ""TYPEID"": ""13"", ""ENDDATE"": ""2079-06-06"", ""CHANGEID"": ""99937149"", ""OBJECTID"": ""67020241"", ""STARTDATE"": ""2019-11-11"", ""UPDATEDATE"": ""2019-11-13"", ""CHANGEIDEND"": ""0""}"
375935084,67020241,99936378,0,14,1,2019-11-13,1900-01-01,2079-06-06,"{""ID"": ""375935084"", ""VALUE"": ""1"", ""TYPEID"": ""14"", ""ENDDATE"": ""2079-06-06"", ""CHANGEID"": ""99936378"", ""OBJECTID"": ""67020241"", ""STARTDATE"": ""1900-01-01"", ""UPDATEDATE"": ""2019-11-13"", ""CHANGEIDEND"": ""0""}"
375935462,67020241,99936378,0,15,82,2019-11-13,1900-01-01,2079-06-06,"{""ID"": ""375935462"", ""VALUE"": ""82"", ""TYPEID"": ""15"", ""ENDDATE"": ""2079-06-06"", ""CHANGEID"": ""99936378"", ""OBJECTID"": ""67020241"", ""STARTDATE"": ""1900-01-01"", ""UPDATEDATE"": ""2019-11-13"", ""CHANGEIDEND"": ""0""}"
1394601529,67020241,505522600,0,19,1,2023-06-11,2023-06-11,2079-06-06,"{""ID"": ""1394601529"", ""VALUE"": ""1"", ""TYPEID"": ""19"", ""ENDDATE"": ""2079-06-06"", ""CHANGEID"": ""505522600"", ""OBJECTID"": ""67020241"", ""STARTDATE"": ""2023-06-11"", ""UPDATEDATE"": ""2023-06-11"", ""CHANGEIDEND"": ""0""}"
